"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,34,36,38,1,7.6,0,1
2,1,38,38,38,1,10.8,0,1
3,1,40,41,43,0,7.3,0,1
4,1,42,44,43,0,9.2,1,1
5,1,44,43,40,0,31.7,1,1
6,1,38,43,44,1,5.4,1,1
7,1,47,47,45,0,6.4,1,1
8,1,44,42,44,0,13.3,1,1
9,1,43,41,44,0,11.2,1,1
10,1,38,39,45,1,5.9,1,1
11,2,34,35,37,1,5.6,1,0
12,2,38,36,40,0,3.3,0,0
13,2,38,40,39,1,6.8,1,0
14,2,36,37,39,1,5.7,1,0
15,2,30,35,37,1,4.5,0,0
16,2,37,38,40,1,4.9,1,0
17,2,38,38,39,0,11.4,1,0
18,2,35,39,38,1,5.7,1,0
19,2,37,38,39,0,4.3,0,0
20,2,41,39,40,0,5,1,0
21,3,42,41,41,1,6.8,1,0
22,3,44,44,43,0,4.9,1,0
23,3,35,39,39,1,8.1,0,0
24,3,45,45,44,0,1.1,0,0
25,3,38,37,43,1,9.1,1,0
26,3,41,40,42,0,2.3,0,0
27,3,38,41,44,1,12.6,1,0
28,3,43,43,43,0,9.8,1,0
29,3,41,43,42,0,15.7,1,0
30,3,42,47,46,0,7.6,1,0
31,4,35,34,34,1,9.1,0,1
32,4,41,42,40,0,8.8,1,1
33,4,41,39,41,0,4.7,1,1
34,4,42,48,43,0,12.7,1,1
35,4,43,43,41,0,9.4,1,1
36,4,40,41,45,0,3.8,0,1
37,4,44,41,42,0,5,0,1
38,4,41,43,40,0,13.2,1,1
39,4,28,32,31,1,12.1,0,1
40,4,33,32,33,1,7.3,1,1
41,5,40,43,43,1,7.6,1,1
42,5,39,41,44,1,12.2,1,1
43,5,38,38,42,1,15.5,0,1
44,5,43,43,45,0,4.9,1,1
45,5,43,45,46,0,5.5,1,1
46,5,39,41,43,0,7.4,1,1
47,5,46,48,46,0,2.4,1,1
48,5,47,44,48,0,5.4,1,1
49,5,40,42,44,0,15.5,0,1
50,5,42,42,43,0,4.6,0,1
51,6,46,45,48,0,9.1,1,1
52,6,40,40,45,1,8.7,1,1
53,6,40,38,40,1,11.1,1,1
54,6,38,34,38,1,9.4,0,1
55,6,43,44,44,0,5.3,1,1
56,6,40,40,44,1,10.8,1,1
57,6,38,42,44,1,10.2,1,1
58,6,47,42,47,0,4.6,1,1
59,6,44,44,40,0,6.1,1,1
60,6,41,39,41,1,6.4,1,1
61,7,40,42,42,1,19.3,1,1
62,7,42,43,43,0,14.8,0,1
63,7,43,45,42,1,5.6,1,1
64,7,39,42,42,1,3.6,0,1
65,7,38,40,43,1,9.3,1,1
66,7,38,37,39,1,7.5,0,1
67,7,37,40,39,1,8.9,0,1
68,7,47,46,44,0,14.3,1,1
69,7,41,42,41,1,6.6,1,1
70,7,40,43,43,0,10,0,1
71,8,35,38,39,0,4,0,0
72,8,44,42,43,0,2.2,1,0
73,8,36,38,41,1,6.4,0,0
74,8,35,40,39,1,7.6,1,0
75,8,40,41,45,1,7.2,1,0
76,8,37,39,42,1,5.6,1,0
77,8,37,41,39,1,5.9,0,0
78,8,40,40,41,0,6.4,1,0
79,8,38,38,43,0,8,0,0
80,8,40,43,39,0,13.4,1,0
81,9,40,38,42,0,14.2,0,1
82,9,41,43,44,0,3.9,0,1
83,9,41,42,39,0,7.8,0,1
84,9,36,39,41,1,12.3,1,1
85,9,34,38,38,1,2.9,0,1
86,9,34,38,40,1,3.1,0,1
87,9,44,41,44,0,5.2,0,1
88,9,46,44,46,0,2.7,1,1
89,9,35,42,40,1,4.2,1,1
90,9,41,44,44,1,9,1,1
91,10,43,41,39,0,15.4,0,0
92,10,39,38,39,1,9.6,1,0
93,10,40,38,39,0,2.3,0,0
94,10,43,45,38,0,7.8,1,0
95,10,39,37,41,1,17.5,1,0
96,10,38,40,41,1,9.3,1,0
97,10,37,41,41,1,4.8,1,0
98,10,37,40,40,1,12.9,0,0
99,10,43,42,37,0,7.3,1,0
100,10,38,40,39,0,12.6,0,0
101,11,42,38,44,0,7.7,1,1
102,11,45,44,46,0,8.8,1,1
103,11,39,40,44,1,7,1,1
104,11,40,37,42,1,3.9,0,1
105,11,37,38,39,1,5.8,0,1
106,11,37,40,37,1,21,0,1
107,11,45,43,43,0,7.6,1,1
108,11,42,41,41,0,9.2,1,1
109,11,43,44,44,0,4.7,1,1
110,11,44,42,46,0,7.9,1,1
111,12,38,39,41,1,6.8,1,1
112,12,38,41,37,1,6.4,1,1
113,12,42,45,43,0,11.1,1,1
114,12,39,38,41,1,14,1,1
115,12,34,37,37,1,3.4,0,1
116,12,39,33,39,1,4.9,0,1
117,12,38,42,42,0,5,1,1
118,12,33,37,33,1,19,0,1
119,12,38,35,39,1,14.7,0,1
120,12,41,35,45,0,8.2,0,1
121,13,43,44,48,0,9.1,1,1
122,13,39,43,44,0,7.1,0,1
123,13,48,44,45,0,7,1,1
124,13,41,46,42,0,9.5,1,1
125,13,44,42,44,0,16.5,1,1
126,13,45,47,44,1,4.9,1,1
127,13,42,45,42,0,3.3,1,1
128,13,42,43,44,0,7.4,1,1
129,13,42,44,46,0,8.5,1,1
130,13,44,47,46,1,6.9,1,1
131,14,34,36,34,1,5.4,0,1
132,14,39,40,36,1,4.7,1,1
133,14,37,36,36,1,6.8,1,1
134,14,40,37,37,0,16.1,0,1
135,14,38,40,41,0,11.6,0,1
136,14,35,39,38,1,11.6,0,1
137,14,41,43,45,0,8.4,1,1
138,14,42,43,44,0,6.9,1,1
139,14,38,37,39,1,8.6,1,1
140,14,41,40,38,0,7.3,0,1
141,15,33,38,39,1,7.5,1,0
142,15,37,38,39,1,3.5,1,0
143,15,40,37,40,1,7.3,1,0
144,15,32,33,38,1,9.4,1,0
145,15,36,39,39,1,8.2,1,0
146,15,35,32,36,1,15.7,0,0
147,15,41,41,38,0,5.6,1,0
148,15,41,40,39,0,4.9,1,0
149,15,36,37,40,1,7.1,1,0
150,15,38,41,39,0,10.1,1,0
151,16,43,42,43,0,6.4,1,0
152,16,41,40,40,0,5.7,0,0
153,16,42,43,48,1,2.9,1,0
154,16,41,38,43,1,7.7,0,0
