"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,39,44,42,0,7.6,1,0
2,1,45,45,41,0,5.7,1,0
3,1,39,37,41,1,8.3,1,0
4,1,39,41,42,1,10,1,0
5,1,38,42,43,1,13.8,1,0
6,1,39,43,41,1,6,1,0
7,1,43,45,42,0,5.5,1,0
8,1,39,42,43,1,16.3,1,0
9,1,40,40,39,1,10.7,0,0
10,1,34,39,43,1,9.2,0,0
11,2,44,47,43,0,8.1,1,0
12,2,44,42,39,0,8.6,1,0
13,2,42,41,41,0,6.6,0,0
14,2,32,35,39,1,15.9,1,0
15,2,46,43,45,0,6.4,1,0
16,2,41,44,47,0,6.3,1,0
17,2,33,40,38,1,6,1,0
18,2,31,35,37,1,9.3,0,0
19,2,38,40,43,1,4.5,1,0
20,2,37,39,40,1,4.8,1,0
21,3,42,38,38,0,12.6,0,1
22,3,41,41,42,1,2.4,1,1
23,3,41,39,44,1,10.6,1,1
24,3,40,44,44,1,7.3,1,1
25,3,42,43,44,0,15.4,1,1
26,3,43,40,43,0,13.3,0,1
27,3,42,44,43,0,5.3,1,1
28,3,46,45,43,0,6.8,1,1
29,3,46,45,46,0,2.1,0,1
30,3,39,40,43,1,6.3,0,1
31,4,34,39,36,1,10.5,1,0
32,4,39,37,40,1,5.9,0,0
33,4,43,40,47,0,4.3,1,0
34,4,34,37,37,1,9.2,0,0
35,4,40,40,45,1,6.1,1,0
36,4,33,35,37,1,11,0,0
37,4,38,37,42,0,4.4,0,0
38,4,41,41,43,0,2.4,0,0
39,4,43,43,46,0,5.8,1,0
40,4,37,38,41,0,6,0,0
41,5,34,32,35,1,6.2,0,0
42,5,37,39,38,0,8.7,0,0
43,5,36,36,41,1,7.4,1,0
44,5,36,37,40,1,14.6,1,0
45,5,40,41,43,0,4,1,0
46,5,42,41,39,0,6.3,1,0
47,5,35,36,36,1,7.8,0,0
48,5,34,31,35,1,14.8,0,0
49,5,40,39,39,0,7.1,1,0
50,5,38,36,36,0,14.3,0,0
51,6,40,40,39,0,3.3,0,1
