"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,42,42,43,1,4.1,1,1
2,1,45,45,44,0,14,1,1
3,1,40,41,42,1,6,1,1
4,1,37,38,41,1,5.9,0,1
5,1,39,42,39,1,5.5,0,1
6,1,33,38,40,1,24.1,1,1
7,1,39,40,38,0,4.5,0,1
8,1,39,46,40,0,2.5,0,1
9,1,37,39,40,1,6.3,0,1
10,1,38,42,42,0,9.7,0,1
11,2,34,36,36,1,6.5,0,0
12,2,35,36,34,1,4.3,0,0
13,2,37,39,39,1,2.9,1,0
14,2,38,36,39,1,15.3,1,0
15,2,36,39,37,1,3.5,0,0
16,2,39,43,38,0,5.7,1,0
17,2,40,40,43,0,4.1,1,0
18,2,39,39,39,0,13.7,1,0
19,2,43,41,41,0,12.9,0,0
20,2,44,43,42,0,7.1,1,0
21,3,43,45,43,0,8.6,1,1
22,3,42,44,46,0,7.3,1,1
23,3,46,45,48,0,6.1,1,1
24,3,42,39,42,1,10.3,0,1
25,3,41,43,44,0,9.4,1,1
26,3,36,40,36,1,16.8,0,1
27,3,38,43,37,1,8.7,0,1
28,3,42,38,39,0,15.3,0,1
29,3,43,43,43,0,6.1,1,1
30,3,45,44,43,0,6.2,0,1
31,4,37,35,39,1,9.5,1,1
32,4,36,42,39,1,9,1,1
33,4,42,43,43,0,4.3,1,1
34,4,41,42,43,0,7.9,1,1
35,4,37,40,36,1,10.8,1,1
36,4,41,40,42,1,2.9,0,1
37,4,37,35,39,1,6.5,1,1
38,4,38,39,43,1,6.7,0,1
39,4,34,34,42,1,4.4,0,1
40,4,37,40,41,1,3.4,1,1
41,5,36,35,36,1,10.8,0,0
42,5,44,44,44,0,6.5,1,0
43,5,34,39,36,1,13.5,1,0
44,5,39,42,43,0,5,0,0
45,5,36,36,38,1,7.8,0,0
46,5,39,39,42,0,6.9,0,0
47,5,36,37,38,1,14.8,1,0
48,5,44,44,40,0,6.5,1,0
49,5,38,38,43,1,3.7,1,0
50,5,34,35,38,1,4.9,0,0
51,6,39,39,37,1,12.7,1,0
52,6,34,36,39,1,14.1,0,0
53,6,38,41,42,1,4.9,1,0
54,6,37,40,38,0,9.4,0,0
55,6,40,42,40,1,8.9,0,0
56,6,37,38,41,0,4.4,1,0
57,6,36,36,41,1,8.3,1,0
58,6,34,35,38,1,2.9,0,0
59,6,38,38,40,1,12.1,1,0
60,6,37,36,37,1,22.6,0,0
61,7,41,41,44,0,5.2,1,1
62,7,44,42,43,0,9,1,1
63,7,40,42,42,0,4.3,1,1
64,7,45,44,43,0,6,1,1
65,7,35,38,40,1,3.7,1,1
66,7,42,41,40,1,8.6,1,1
67,7,38,36,41,1,5.1,1,1
68,7,40,42,39,0,17,0,1
69,7,38,40,42,1,4.7,1,1
70,7,41,40,41,0,5.3,0,1
71,8,40,42,42,0,10.5,1,1
72,8,42,41,40,0,4.6,0,1
73,8,46,39,43,0,9.2,0,1
74,8,44,45,41,0,10.8,1,1
75,8,38,39,41,1,7,1,1
76,8,38,38,39,1,7.6,1,1
77,8,36,39,37,1,9.7,0,1
78,8,39,42,43,0,7.4,1,1
79,8,38,39,42,1,6.9,1,1
80,8,44,39,37,0,6.8,0,1
81,9,43,38,36,0,10.4,0,1
82,9,45,44,43,0,3.1,1,1
83,9,39,37,43,0,17.1,0,1
84,9,37,38,41,1,7.7,0,1
85,9,36,39,38,1,4.3,0,1
86,9,37,39,42,1,4.4,1,1
87,9,40,38,43,1,9.3,1,1
88,9,40,41,42,1,4.7,0,1
89,9,47,45,44,0,9.2,1,1
90,9,41,39,45,0,24.3,1,1
91,10,37,37,38,1,5.4,1,1
92,10,42,43,40,0,14.2,1,1
93,10,39,41,40,1,6.9,1,1
94,10,38,37,40,1,3.3,1,1
95,10,42,42,44,0,3.8,1,1
96,10,38,41,43,1,7.2,1,1
97,10,42,43,39,0,11,0,1
98,10,40,40,42,0,5.8,1,1
99,10,42,38,39,0,11.4,1,1
100,10,43,43,44,0,16,1,1
101,11,33,35,39,1,6.3,0,1
102,11,37,38,42,1,9.7,1,1
103,11,43,45,46,0,12.4,1,1
104,11,42,44,42,0,1.6,1,1
105,11,39,41,40,1,9.8,1,1
106,11,43,41,41,0,7.2,0,1
107,11,35,38,38,1,11.4,0,1
108,11,37,36,39,1,8.4,0,1
109,11,37,36,43,0,7.5,0,1
110,11,35,40,43,1,1.9,1,1
111,12,45,45,45,0,10.7,1,1
112,12,43,46,45,0,7.2,1,1
113,12,45,41,45,1,3.4,1,1
114,12,44,43,45,0,6.1,1,1
115,12,42,42,41,1,9.1,1,1
116,12,44,43,42,0,11.6,0,1
117,12,38,40,42,1,7.1,0,1
118,12,47,47,42,0,4,1,1
119,12,41,41,45,1,6.3,0,1
120,12,47,44,44,0,13.9,1,1
121,13,41,42,42,0,23.6,1,0
122,13,41,41,41,0,6.2,0,0
123,13,41,42,44,0,2.5,1,0
124,13,42,42,41,0,6,1,0
125,13,40,39,41,0,5.4,1,0
126,13,37,39,38,1,12.5,0,0
127,13,45,45,46,0,7.3,1,0
128,13,38,41,43,1,9.2,1,0
129,13,36,41,41,1,8.3,0,0
130,13,43,43,40,1,7.5,1,0
131,14,36,39,40,1,14,1,0
132,14,41,38,39,0,14.8,1,0
133,14,41,42,41,0,7.2,1,0
134,14,40,42,39,0,15.2,1,0
135,14,43,44,44,0,7.8,1,0
136,14,41,41,42,0,8.8,1,0
137,14,41,40,40,1,13.5,0,0
138,14,40,41,40,0,8.3,0,0
139,14,43,41,41,1,4,1,0
140,14,39,39,41,1,5,1,0
141,15,39,38,40,0,3.1,0,0
142,15,39,42,40,1,6.4,1,0
143,15,41,41,40,0,7.3,1,0
144,15,39,38,41,1,7.3,1,0
145,15,36,39,41,1,11.3,1,0
146,15,42,38,40,0,8.9,1,0
147,15,38,40,38,0,15.9,0,0
148,15,36,40,37,1,12.3,1,0
149,15,38,37,39,1,9.2,1,0
150,15,39,39,40,0,5.8,1,0
151,16,36,37,39,1,6.1,0,1
152,16,42,43,39,0,4.9,0,1
153,16,40,40,43,1,9,0,1
154,16,43,41,39,0,7.3,0,1
155,16,43,45,42,0,9.1,1,1
156,16,34,37,38,1,9.1,0,1
157,16,42,45,46,0,4.1,1,1
158,16,40,40,43,0,6.5,0,1
159,16,40,41,39,1,6.2,1,1
160,16,36,35,40,1,9.1,0,1
161,17,41,43,47,0,6.2,1,0
162,17,42,41,44,1,11.4,1,0
163,17,40,41,42,0,10.9,0,0
164,17,44,46,45,0,3.2,1,0
165,17,36,39,37,1,16.1,0,0
166,17,43,41,42,0,10.3,0,0
167,17,39,41,38,0,3.8,0,0
168,17,39,39,40,1,4.5,0,0
169,17,36,38,37,1,13.1,0,0
170,17,42,42,42,0,5.5,1,0
171,18,40,43,45,1,5.7,1,1
172,18,43,41,43,0,9,1,1
173,18,46,43,44,0,8.2,1,1
174,18,40,42,42,0,6.2,0,1
175,18,43,44,44,0,17.6,1,1
176,18,42,41,40,0,10.9,1,1
177,18,35,38,40,1,13.7,0,1
178,18,43,42,42,0,8.9,1,1
179,18,39,40,40,1,6.8,1,1
180,18,44,41,40,1,5.6,0,1
181,19,41,41,42,1,8.6,0,0
182,19,42,42,42,1,4,0,0
183,19,38,40,40,0,10.1,0,0
184,19,39,40,41,0,10.8,0,0
185,19,37,40,39,0,5.1,0,0
186,19,40,39,36,0,17.8,0,0
187,19,40,38,38,0,28.6,1,0
188,19,45,41,41,0,14.7,1,0
189,19,43,42,41,1,5.3,1,0
190,19,43,43,40,0,25.5,1,0
191,20,44,42,46,1,6.9,1,1
192,20,39,40,44,1,12.7,1,1
193,20,39,39,43,1,3.9,0,1
194,20,43,43,42,0,5.9,1,1
195,20,39,43,39,0,4.4,0,1
196,20,44,44,40,0,7.6,0,1
197,20,37,42,43,1,6.6,0,1
198,20,42,38,41,0,4.6,0,1
199,20,34,36,37,1,20,0,1
200,20,41,43,41,0,6.7,0,1
