"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,41,38,40,1,12.3,1,1
2,1,39,37,38,1,5.7,0,1
3,1,39,40,38,1,18.1,1,1
4,1,36,38,38,1,3.6,1,1
5,1,43,42,39,0,7.9,0,1
6,1,36,36,36,1,9.3,0,1
7,1,39,44,41,1,13.6,1,1
8,1,34,37,37,1,3.8,0,1
9,1,43,43,45,0,4.2,1,1
10,1,36,40,39,1,17.1,1,1
11,2,36,40,37,1,9,1,0
12,2,39,36,38,1,10.6,1,0
13,2,40,39,41,1,5,0,0
14,2,35,40,38,1,19.3,1,0
15,2,40,38,40,1,7.7,1,0
16,2,38,42,41,0,9.3,0,0
17,2,40,38,40,0,7.1,0,0
18,2,39,39,41,0,11.6,1,0
19,2,36,39,40,0,6.1,1,0
20,2,41,36,41,0,22.9,1,0
21,3,30,33,37,1,16.2,0,0
22,3,38,40,40,1,2.8,1,0
23,3,38,39,41,0,5.4,0,0
24,3,42,40,42,1,7.3,1,0
25,3,37,38,38,1,3.1,1,0
26,3,41,42,43,0,4.4,1,0
27,3,40,43,44,0,5.6,1,0
28,3,37,37,39,1,9.4,1,0
29,3,34,35,40,1,7.8,0,0
30,3,39,43,41,0,5.5,1,0
31,4,35,40,42,1,7.1,1,0
32,4,40,42,44,0,31.3,1,0
33,4,36,38,40,1,13.3,0,0
34,4,36,39,42,1,9.7,0,0
35,4,41,40,42,0,10.9,1,0
36,4,40,42,39,1,5.6,1,0
37,4,36,37,38,1,7.8,0,0
38,4,40,42,40,1,8.5,1,0
39,4,35,41,36,1,5.8,0,0
40,4,42,41,43,0,5.9,1,0
41,5,41,41,41,0,9.5,0,1
42,5,39,41,41,1,6,1,1
43,5,45,42,42,0,6.8,1,1
44,5,38,39,40,1,6.3,1,1
45,5,43,43,45,0,11.3,0,1
46,5,37,38,38,1,9.4,0,1
47,5,36,39,38,1,6.3,0,1
48,5,41,44,42,1,6.4,1,1
49,5,41,42,42,1,12.1,1,1
50,5,43,42,43,0,6.8,0,1
51,6,43,41,41,0,14.5,1,0
52,6,37,40,37,1,7,1,0
53,6,38,39,37,0,6.3,0,0
54,6,42,39,39,0,2.8,0,0
55,6,38,38,39,1,5.3,1,0
56,6,37,37,40,1,3.7,0,0
57,6,34,36,37,1,19.4,0,0
58,6,34,35,35,1,9.3,0,0
59,6,41,41,43,0,9.6,1,0
60,6,34,33,38,1,7.3,0,0
61,7,37,46,41,1,1.9,0,0
62,7,44,42,41,0,7.2,0,0
63,7,43,45,44,1,7.4,1,0
64,7,41,43,41,1,4,1,0
65,7,41,43,38,0,8.4,0,0
66,7,42,46,41,0,16.5,1,0
67,7,44,42,44,0,7.3,1,0
68,7,38,43,42,1,12.4,1,0
69,7,42,41,41,1,6,1,0
70,7,44,41,42,0,7.6,1,0
71,8,33,35,34,1,20.4,1,0
72,8,36,38,40,1,10.2,1,0
73,8,41,39,42,0,14,1,0
74,8,33,36,37,1,5.4,1,0
75,8,40,42,40,0,14.5,1,0
76,8,33,30,32,1,17.1,0,0
77,8,33,34,36,1,13.3,1,0
78,8,40,39,36,0,7.4,0,0
79,8,34,38,41,0,14.2,1,0
80,8,33,36,40,1,7.1,1,0
81,9,43,41,44,0,4.2,1,0
82,9,42,37,38,0,9.9,0,0
83,9,40,39,40,1,7.7,1,0
84,9,41,39,40,0,6.6,1,0
85,9,38,40,40,1,15.5,1,0
86,9,36,31,36,1,6.2,0,0
87,9,33,36,35,1,9.1,0,0
88,9,37,42,41,0,2.6,1,0
89,9,38,32,37,1,3.7,0,0
90,9,41,42,42,0,5.2,1,0
91,10,40,40,38,0,6.3,0,0
92,10,45,43,44,0,6.3,1,0
93,10,39,40,41,1,11.5,1,0
94,10,43,40,42,0,2.9,1,0
95,10,41,44,44,0,10.7,1,0
96,10,42,43,36,0,11,1,0
97,10,40,38,43,0,8.1,1,0
98,10,43,41,43,1,11.7,1,0
99,10,38,38,41,1,13.7,1,0
100,10,44,42,43,0,5.3,1,0
101,11,35,34,34,1,9.6,1,0
102,11,36,37,38,1,5.8,1,0
103,11,33,32,37,1,5.7,0,0
104,11,34,41,38,1,2.8,0,0
105,11,37,38,38,1,5.6,1,0
106,11,37,39,38,1,9.4,1,0
107,11,34,36,41,1,13.6,0,0
108,11,35,39,38,1,7.8,1,0
109,11,35,36,37,1,7.7,1,0
110,11,37,38,40,1,6.7,1,0
111,12,38,39,43,1,5.8,1,1
112,12,37,36,40,1,12.7,0,1
113,12,43,45,47,0,11.7,1,1
114,12,44,43,43,0,8.9,1,1
115,12,47,40,42,0,8.6,0,1
116,12,38,36,41,1,9.6,0,1
117,12,37,38,39,1,12,0,1
118,12,41,43,44,0,19.2,1,1
119,12,42,46,42,0,15.7,0,1
120,12,37,41,40,1,6.3,1,1
121,13,41,42,40,0,11.9,1,0
122,13,35,37,41,1,7.1,1,0
123,13,34,35,37,1,6.7,0,0
124,13,41,38,40,0,10.6,0,0
125,13,34,34,36,1,12.4,1,0
126,13,34,32,37,1,6.3,0,0
127,13,34,34,38,1,10.8,1,0
128,13,36,37,39,1,7.3,1,0
129,13,40,41,41,0,15.6,0,0
130,13,34,37,36,1,9.2,1,0
131,14,41,43,38,0,8.1,1,0
132,14,37,37,40,0,9,0,0
133,14,36,36,37,1,3.9,1,0
134,14,37,37,39,1,8.3,0,0
135,14,41,39,42,0,10.6,1,0
136,14,34,36,35,1,6.5,0,0
137,14,43,39,41,0,6.3,1,0
138,14,35,35,36,1,12.1,0,0
139,14,35,35,40,1,11.2,1,0
140,14,39,39,42,1,8.9,1,0
141,15,47,44,46,0,15.3,1,1
142,15,41,42,43,1,10.3,1,1
143,15,44,47,45,0,6.1,1,1
144,15,40,47,41,1,16,1,1
145,15,38,40,41,1,23.7,1,1
146,15,38,40,40,1,14.9,0,1
147,15,43,40,44,0,4.6,0,1
148,15,41,42,43,1,11.2,1,1
149,15,43,42,45,1,10.7,1,1
150,15,49,42,46,0,7.9,1,1
151,16,40,43,43,0,16.1,1,0
152,16,36,42,38,0,15.1,1,0
153,16,42,40,41,0,6.2,0,0
154,16,40,41,43,0,5.8,1,0
155,16,36,36,38,1,2.9,0,0
156,16,42,45,41,0,4.2,1,0
157,16,44,42,46,0,5.9,0,0
158,16,43,39,41,1,13.3,1,0
159,16,45,42,42,0,6.3,1,0
160,16,41,43,42,0,7.5,1,0
161,17,39,40,39,0,6.8,0,0
162,17,36,40,38,0,23.2,0,0
163,17,41,42,41,0,4.9,1,0
164,17,30,35,36,1,13.7,0,0
165,17,41,43,42,0,7.3,1,0
166,17,37,37,37,0,5.3,0,0
167,17,33,37,38,1,6.5,1,0
168,17,36,34,35,0,26.2,0,0
169,17,42,44,40,0,8,1,0
170,17,39,42,41,0,10.8,1,0
171,18,35,37,39,0,6,0,0
172,18,42,42,38,0,5.1,1,0
173,18,38,36,39,1,7.9,1,0
174,18,35,36,36,1,5.2,0,0
175,18,32,36,39,1,14.3,1,0
176,18,38,40,38,0,3.4,0,0
177,18,35,34,38,1,7.6,1,0
178,18,37,42,39,0,7.3,1,0
179,18,33,36,36,1,15,0,0
180,18,41,40,40,1,11.2,1,0
181,19,42,42,43,0,8.1,0,1
182,19,48,46,41,0,14.4,1,1
183,19,40,44,41,0,13.5,0,1
184,19,38,39,38,1,11.4,0,1
185,19,41,43,42,1,7,1,1
186,19,40,41,41,0,8.8,0,1
187,19,48,42,45,0,4.5,1,1
188,19,40,44,44,0,13,0,1
189,19,44,45,45,0,8.3,1,1
190,19,39,42,38,1,11.7,1,1
191,20,44,40,41,0,6.6,1,1
192,20,44,40,40,0,1.9,1,1
193,20,36,34,39,1,4.4,0,1
194,20,38,42,44,0,4.9,1,1
195,20,39,37,39,1,11.3,1,1
196,20,42,42,43,0,6.6,1,1
197,20,42,41,39,0,5.2,1,1
198,20,39,40,43,1,2.2,1,1
199,20,33,41,42,1,13.1,1,1
200,20,36,38,37,1,7.4,1,1
