"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,42,41,40,0,10.7,0,0
2,1,39,40,40,0,4.4,0,0
3,1,40,41,40,1,5.8,1,0
4,1,40,38,42,1,2.3,1,0
5,1,41,40,38,0,4,0,0
6,1,38,39,40,0,11.2,0,0
7,1,39,40,40,1,4.9,1,0
8,1,41,44,42,1,5.9,1,0
9,1,40,40,38,1,11.3,1,0
10,1,38,41,40,0,18.8,1,0
11,2,32,33,36,1,5.4,0,0
12,2,33,33,33,1,28,0,0
13,2,42,42,40,0,11.7,1,0
14,2,34,37,37,1,5.4,0,0
15,2,35,41,38,1,7.4,1,0
16,2,44,41,42,0,9.6,1,0
17,2,35,41,43,1,3,1,0
18,2,35,43,39,1,7.2,1,0
19,2,35,39,37,1,8.1,1,0
20,2,36,38,39,1,5.5,0,0
21,3,39,41,40,0,19.8,1,0
22,3,43,41,39,0,7.6,1,0
23,3,39,39,42,1,8.4,1,0
24,3,38,40,42,1,7,1,0
25,3,40,38,38,1,6.6,1,0
26,3,34,35,39,1,32,1,0
27,3,37,41,38,0,2.8,0,0
28,3,38,37,39,0,5.3,0,0
29,3,40,44,41,1,4.4,1,0
30,3,39,40,40,0,9.4,0,0
31,4,40,44,41,1,7.3,1,1
32,4,43,42,45,0,4.7,1,1
33,4,46,43,45,0,8.1,0,1
34,4,37,40,43,1,4.3,1,1
35,4,47,43,42,0,3.4,1,1
36,4,44,42,43,0,4.9,1,1
37,4,42,44,42,0,6.2,1,1
38,4,39,41,41,0,15.4,0,1
39,4,38,40,42,0,8.1,0,1
40,4,36,39,38,1,14.7,1,1
41,5,39,43,42,1,10.7,1,1
42,5,41,46,43,1,3.4,1,1
43,5,46,45,47,0,6.9,1,1
44,5,44,47,45,0,12.8,1,1
45,5,41,38,44,1,5.8,0,1
46,5,44,45,43,0,4.4,1,1
47,5,41,44,46,1,6.1,1,1
48,5,40,40,38,1,11.6,0,1
49,5,41,41,43,1,10,1,1
50,5,38,39,41,1,5.1,0,1
51,6,39,41,43,1,14.4,1,1
52,6,45,42,43,0,8.1,1,1
53,6,42,38,43,1,8.3,1,1
54,6,40,38,41,1,5.8,0,1
55,6,43,45,45,0,7.8,1,1
56,6,49,46,44,0,8,1,1
57,6,42,44,45,1,5.3,1,1
58,6,45,45,45,0,11.4,1,1
59,6,40,42,45,1,8.9,1,1
60,6,40,40,41,1,6.7,1,1
61,7,35,39,40,1,5.5,1,1
62,7,37,37,41,1,8.7,1,1
63,7,37,36,38,1,5.4,0,1
64,7,42,42,43,0,19.2,1,1
65,7,38,38,42,0,4.2,0,1
66,7,39,39,43,1,5.2,1,1
67,7,42,42,39,0,9.5,0,1
68,7,37,38,41,1,6.1,1,1
69,7,43,40,41,0,13.5,1,1
70,7,37,42,42,1,15.7,1,1
71,8,38,38,34,0,22.7,1,0
72,8,40,38,43,0,2.1,1,0
73,8,42,39,44,0,3.9,1,0
74,8,41,44,40,0,5.3,1,0
75,8,34,34,32,1,5.1,0,0
76,8,31,36,37,1,8.7,1,0
77,8,35,34,39,1,8.3,1,0
78,8,37,36,38,1,12.2,1,0
79,8,34,37,38,0,7.7,0,0
80,8,36,33,35,1,14.1,1,0
81,9,42,42,42,1,10,1,0
82,9,39,40,37,0,9,0,0
83,9,41,43,43,0,8.8,1,0
84,9,40,37,42,1,8.5,0,0
85,9,40,37,39,0,11.4,0,0
86,9,37,41,38,0,17.3,1,0
87,9,38,43,39,1,6.7,1,0
88,9,43,43,43,0,4.7,1,0
89,9,41,44,41,1,5.8,1,0
90,9,41,40,39,0,6.9,1,0
91,10,35,39,40,1,8.4,1,1
92,10,38,38,40,1,8.1,1,1
93,10,39,41,38,0,9.7,0,1
94,10,32,32,30,1,8.6,0,1
95,10,39,38,42,0,9.1,0,1
96,10,42,38,38,0,6.9,0,1
97,10,37,36,36,1,5.3,0,1
98,10,33,35,35,1,4.5,0,1
99,10,43,42,44,0,2,1,1
100,10,35,32,37,1,8.6,1,1
101,11,42,43,44,0,8.1,0,0
102,11,37,39,41,1,6.3,0,0
103,11,42,43,42,0,8.4,1,0
104,11,38,42,42,1,5.6,0,0
105,11,39,39,39,0,18.3,1,0
106,11,38,41,40,1,5.1,0,0
107,11,36,40,43,1,9.9,0,0
108,11,44,41,42,0,5.7,0,0
109,11,39,40,42,0,13.6,0,0
110,11,42,42,43,0,12.3,0,0
111,12,42,43,40,0,7.8,1,0
112,12,37,39,42,0,5.5,1,0
113,12,36,38,40,1,4.7,0,0
114,12,38,36,37,1,9,0,0
115,12,39,38,41,1,8.5,1,0
116,12,33,34,41,1,3.8,0,0
117,12,39,39,37,0,6.7,1,0
118,12,37,36,37,1,6.5,1,0
119,12,37,40,41,0,8.3,1,0
120,12,42,42,43,1,3.2,1,0
121,13,40,38,39,1,12,1,1
122,13,40,42,42,0,7,1,1
123,13,42,43,42,0,5.3,1,1
124,13,47,44,43,0,9.4,1,1
125,13,44,42,42,0,10.9,1,1
126,13,44,42,45,0,10.3,1,1
127,13,39,40,41,1,5.9,1,1
128,13,46,43,46,0,20.3,1,1
129,13,42,39,42,0,4.8,0,1
130,13,44,41,43,0,5.5,1,1
131,14,41,38,40,1,10.3,1,1
132,14,43,44,41,0,16.1,1,1
133,14,38,36,37,1,6.1,0,1
134,14,37,36,38,1,5.3,0,1
135,14,48,42,45,0,7.5,1,1
136,14,36,39,40,0,5.7,0,1
137,14,34,39,38,1,4.7,0,1
138,14,43,42,43,1,10.5,1,1
139,14,42,42,43,0,11.1,1,1
140,14,41,42,40,0,7.2,1,1
141,15,34,37,36,1,4.4,0,0
142,15,38,38,39,1,7.6,0,0
143,15,41,45,43,0,12.3,1,0
144,15,45,43,45,0,2,1,0
145,15,37,33,38,1,15.6,0,0
146,15,34,38,38,1,2.4,0,0
147,15,40,43,44,0,7.1,1,0
148,15,43,38,41,0,9.7,0,0
149,15,41,40,42,0,8.5,0,0
150,15,39,39,37,1,3.3,1,0
151,16,40,39,38,1,2.5,0,0
152,16,42,45,42,0,9.4,1,0
153,16,38,42,38,1,8,1,0
154,16,41,46,46,1,7.5,1,0
155,16,45,43,44,0,7.5,1,0
156,16,40,41,42,1,5.6,1,0
157,16,38,41,44,0,17.8,1,0
158,16,38,39,42,1,16.4,1,0
159,16,42,42,42,1,4.3,1,0
160,16,37,38,36,1,5.5,0,0
161,17,39,40,43,1,2.8,1,0
162,17,40,41,39,0,7.1,1,0
163,17,39,43,40,1,3.5,0,0
164,17,34,40,36,1,5,0,0
165,17,37,39,37,1,4.7,1,0
166,17,40,40,37,0,11.5,1,0
167,17,43,42,42,0,10.8,1,0
168,17,35,38,37,1,5.4,0,0
169,17,39,39,39,1,9.3,1,0
170,17,40,37,40,0,6.7,0,0
171,18,36,35,41,1,7,1,0
172,18,41,37,43,0,7.7,1,0
173,18,43,44,47,0,3.6,1,0
174,18,41,37,42,0,4.2,1,0
175,18,32,34,38,1,9.9,1,0
176,18,40,43,39,0,8.7,1,0
177,18,35,35,37,1,6.6,0,0
178,18,38,40,37,1,7.6,1,0
179,18,31,30,34,1,6.9,0,0
180,18,34,34,37,1,3.5,0,0
181,19,37,41,42,0,4.5,0,0
182,19,35,35,35,1,4.8,0,0
183,19,42,47,46,0,5.7,1,0
184,19,36,34,35,1,3.6,1,0
185,19,42,40,41,0,5.3,0,0
186,19,41,42,42,0,15.5,1,0
187,19,32,33,38,1,15.5,1,0
188,19,35,36,39,1,6.8,0,0
189,19,45,42,42,0,10.4,1,0
190,19,41,39,37,0,6.1,1,0
191,20,45,42,42,0,4.4,1,1
192,20,38,38,39,1,5.5,0,1
193,20,38,36,38,1,7.6,0,1
194,20,33,40,39,1,12.9,1,1
195,20,41,41,40,0,8.2,0,1
196,20,39,37,37,1,8.2,0,1
197,20,39,42,41,0,4,1,1
198,20,38,38,42,1,6.4,1,1
199,20,38,40,39,1,6.6,1,1
200,20,40,44,43,0,4.1,0,1
