"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,43,38,43,0,12,0,1
2,1,39,39,41,1,7.6,1,1
3,1,40,43,41,0,27.2,0,1
4,1,43,44,42,0,6,1,1
5,1,40,42,43,0,8.1,0,1
6,1,40,34,40,1,4.2,0,1
7,1,39,41,42,1,6.8,1,1
8,1,40,41,40,1,8.4,1,1
9,1,35,36,40,1,6.6,0,1
10,1,43,40,39,0,7,0,1
11,2,35,38,37,1,8.6,0,0
12,2,38,36,40,0,7.5,0,0
13,2,35,37,35,1,8.2,1,0
14,2,44,41,42,0,3.1,1,0
15,2,41,39,40,0,9.5,1,0
16,2,39,40,38,0,20.7,1,0
17,2,43,46,44,0,4.3,1,0
18,2,44,40,43,0,4.8,1,0
19,2,36,41,43,1,9.4,1,0
20,2,40,39,41,1,2.4,1,0
21,3,34,37,39,1,9.7,1,1
22,3,39,40,41,1,7.5,1,1
23,3,37,43,41,0,10,0,1
24,3,32,36,34,1,10.2,0,1
25,3,37,41,38,1,10.4,1,1
26,3,39,40,40,0,6,0,1
27,3,39,43,41,0,14.7,1,1
28,3,40,41,38,0,6.5,0,1
29,3,40,36,37,0,11.9,0,1
30,3,43,45,42,0,10.9,0,1
31,4,41,41,41,0,3,0,1
32,4,40,40,38,1,4.6,1,1
33,4,37,37,40,1,10.6,0,1
34,4,36,42,41,1,8,0,1
35,4,38,38,40,1,10.9,0,1
36,4,37,41,44,1,6.1,1,1
37,4,37,38,41,1,8.3,1,1
38,4,39,39,35,1,4.7,0,1
39,4,45,41,46,0,7.7,1,1
40,4,44,42,44,0,4.2,1,1
41,5,38,39,42,1,4.5,0,1
42,5,37,43,37,1,8.5,0,1
43,5,36,39,35,1,16.4,1,1
44,5,45,45,45,0,15.5,1,1
45,5,35,36,39,1,8.3,1,1
46,5,35,42,40,1,4.9,1,1
47,5,38,38,40,1,7.7,1,1
48,5,39,42,39,0,16.6,0,1
49,5,40,42,42,0,4.1,1,1
50,5,36,38,37,0,18.9,0,1
51,6,39,40,40,1,6.6,0,1
52,6,40,41,38,1,8.8,1,1
53,6,39,41,43,1,11.3,1,1
54,6,37,40,40,1,9.5,0,1
55,6,39,38,43,1,7.7,1,1
56,6,41,38,41,1,4.8,0,1
57,6,44,40,39,0,7.2,1,1
58,6,39,43,43,0,10.5,1,1
59,6,44,42,39,1,9.9,1,1
60,6,44,43,47,1,12.4,1,1
61,7,42,46,45,0,8.8,1,0
62,7,39,44,40,0,7.6,0,0
63,7,41,43,45,1,5.2,1,0
64,7,41,42,43,0,6.9,0,0
65,7,43,43,43,0,10.8,1,0
66,7,47,47,44,0,2.4,1,0
67,7,42,42,38,1,4.2,0,0
68,7,39,40,41,1,3.3,0,0
69,7,38,44,40,0,9.5,0,0
70,7,39,42,44,1,11.1,1,0
71,8,42,41,43,0,3.9,1,1
72,8,34,39,38,1,8.2,1,1
73,8,39,37,36,1,16.7,0,1
74,8,41,42,42,0,6.5,1,1
75,8,39,39,42,1,9.9,1,1
76,8,40,36,41,1,5.6,1,1
77,8,39,37,36,1,5.3,0,1
78,8,41,38,41,1,7.5,1,1
79,8,38,39,41,1,5.9,0,1
80,8,36,39,37,1,7.1,0,1
81,9,42,44,44,0,7,1,1
82,9,36,40,40,0,2.1,0,1
83,9,45,44,44,0,2.5,1,1
84,9,41,41,42,0,14.4,0,1
85,9,44,43,44,0,4.1,1,1
