"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,42,47,46,1,6.9,1,1
2,1,42,47,43,0,5.2,1,1
3,1,42,39,44,1,4.8,0,1
4,1,44,40,43,0,13,1,1
5,1,42,47,43,0,2.1,0,1
6,1,44,42,46,0,7,1,1
7,1,41,42,41,0,12.4,0,1
8,1,37,40,41,1,11.3,1,1
9,1,45,49,46,0,8.4,1,1
10,1,44,43,45,0,14.5,1,1
11,2,36,37,37,1,6.7,0,1
12,2,40,39,42,1,5.1,1,1
13,2,40,44,44,0,2.8,1,1
14,2,40,42,41,1,11.2,0,1
15,2,45,41,44,0,4.4,0,1
16,2,37,39,42,1,6.4,0,1
17,2,41,40,43,1,5,1,1
18,2,42,42,39,0,3.5,0,1
19,2,36,38,38,1,5.3,0,1
20,2,44,47,46,0,14.3,1,1
21,3,38,41,43,1,7.7,1,0
22,3,39,41,38,1,13.1,1,0
23,3,37,35,38,1,10.1,1,0
24,3,41,39,39,0,5.6,0,0
25,3,41,39,41,0,4,0,0
26,3,34,37,38,1,8.9,1,0
27,3,42,39,43,0,6.6,1,0
28,3,38,40,40,1,4.2,1,0
29,3,33,36,38,1,11.8,0,0
30,3,40,40,43,0,4.5,1,0
31,4,32,31,34,1,9.8,0,0
32,4,36,38,41,1,5.9,1,0
33,4,42,39,37,0,5.8,0,0
34,4,32,34,41,0,18.6,0,0
35,4,31,33,31,1,12.8,0,0
36,4,41,41,42,0,3.5,1,0
37,4,37,35,38,1,21,1,0
38,4,39,40,41,1,11.2,1,0
39,4,32,31,34,1,4.4,0,0
40,4,40,36,39,1,3.4,1,0
41,5,41,42,41,0,16.9,1,0
42,5,33,34,35,1,2.4,0,0
43,5,43,41,43,0,12.3,1,0
44,5,44,41,41,0,13.9,1,0
45,5,37,36,38,1,7.9,1,0
46,5,33,38,39,1,2.8,1,0
47,5,42,39,40,0,5.3,1,0
48,5,34,35,39,1,4.4,1,0
49,5,42,34,37,0,2.7,0,0
50,5,32,33,34,1,3.8,0,0
51,6,46,45,45,0,6.2,1,1
52,6,42,43,41,1,4,1,1
53,6,38,40,37,1,6.8,0,1
54,6,48,46,45,0,8.1,1,1
55,6,36,36,36,1,5.2,0,1
56,6,38,38,40,1,13.7,1,1
57,6,36,39,41,1,5,1,1
58,6,34,37,38,1,8.5,0,1
59,6,40,44,45,0,15.2,1,1
60,6,39,37,40,1,8.2,1,1
61,7,44,48,47,0,8.6,1,1
62,7,47,44,43,0,5.6,1,1
63,7,38,40,41,1,6.6,1,1
64,7,40,41,42,1,4,1,1
65,7,44,45,44,0,7.6,1,1
66,7,41,39,43,1,5.9,1,1
67,7,37,41,42,0,7.3,0,1
68,7,40,43,44,0,6.7,0,1
69,7,44,46,44,0,8.2,0,1
70,7,44,44,47,0,9.6,1,1
71,8,42,43,48,1,3.3,1,1
72,8,42,43,40,1,6.3,0,1
73,8,45,44,43,0,3.7,1,1
74,8,41,44,44,1,3.5,1,1
75,8,43,45,42,0,8.9,1,1
76,8,35,39,35,1,4.4,0,1
77,8,38,36,39,0,25,0,1
78,8,43,45,47,0,8.5,1,1
79,8,43,45,43,0,7.9,1,1
80,8,42,45,44,0,12,1,1
81,9,41,41,45,0,4.3,1,1
82,9,39,40,42,1,7.3,1,1
83,9,42,43,44,1,6,1,1
84,9,40,45,40,0,3.7,1,1
85,9,38,40,41,1,12,1,1
86,9,39,37,40,1,3.9,0,1
87,9,42,42,41,1,6.4,1,1
88,9,44,46,44,0,8.3,1,1
89,9,43,43,39,0,14.3,1,1
90,9,42,41,45,0,3.6,1,1
91,10,40,38,38,1,22.6,1,0
92,10,37,41,37,0,5.5,1,0
93,10,40,39,44,0,5.2,1,0
94,10,35,34,39,1,7.5,0,0
95,10,37,35,35,1,4.8,0,0
96,10,36,37,38,0,28.2,0,0
97,10,37,40,40,0,7.9,0,0
98,10,42,37,37,1,7,1,0
99,10,38,39,39,1,12.8,1,0
100,10,37,40,36,1,5.2,0,0
101,11,40,41,40,1,5.4,1,0
102,11,40,39,38,1,4.9,1,0
103,11,39,41,40,0,7.4,0,0
104,11,36,35,36,1,8.5,0,0
105,11,44,44,45,0,4.1,1,0
106,11,37,44,39,0,19,1,0
107,11,42,43,40,0,4.3,1,0
108,11,46,44,43,0,5.8,1,0
109,11,44,43,41,0,11.7,1,0
110,11,38,35,37,1,2.8,1,0
111,12,41,39,38,0,4.1,0,0
112,12,39,41,44,1,8.4,1,0
113,12,37,40,40,1,3.7,1,0
114,12,40,40,37,0,4.9,1,0
115,12,46,43,44,0,5.8,1,0
116,12,41,43,42,0,7.4,1,0
117,12,42,42,43,0,4.2,0,0
118,12,39,41,40,1,4.4,1,0
119,12,39,41,43,1,7.9,1,0
120,12,36,37,39,1,2.9,0,0
121,13,41,39,41,0,6.9,1,0
122,13,42,45,44,0,5.8,1,0
123,13,40,38,42,1,8.7,1,0
124,13,39,41,41,0,4.9,1,0
125,13,34,38,38,1,6.7,1,0
126,13,38,39,40,0,18.5,0,0
127,13,39,42,43,0,6.6,1,0
128,13,37,37,40,1,8.2,1,0
129,13,41,39,44,0,17.9,1,0
130,13,35,40,39,1,6.5,0,0
131,14,34,39,40,1,14.9,1,1
132,14,45,41,43,0,10.6,1,1
133,14,44,46,44,0,5.3,1,1
134,14,41,41,43,0,9.4,0,1
135,14,45,45,45,0,4.1,1,1
136,14,33,38,39,1,9.8,1,1
137,14,41,39,39,1,3.5,0,1
138,14,41,38,40,0,15.2,0,1
139,14,47,44,45,0,6.4,1,1
140,14,41,44,44,0,5.9,0,1
141,15,35,36,39,1,12.6,0,1
142,15,38,38,36,1,4.9,1,1
143,15,40,38,38,1,7.1,1,1
144,15,38,40,40,0,19.8,1,1
145,15,41,36,40,1,7.7,0,1
146,15,33,40,38,1,4.4,0,1
147,15,35,36,38,1,24.9,1,1
148,15,32,36,36,1,27.6,1,1
149,15,39,37,41,1,9.3,1,1
150,15,38,37,43,1,4.4,1,1
151,16,40,37,37,0,12.4,0,1
152,16,36,36,40,1,6,1,1
153,16,41,44,42,0,3.5,1,1
154,16,37,35,37,1,9.8,1,1
155,16,36,38,38,1,10,0,1
156,16,34,36,40,1,5.2,1,1
157,16,43,43,44,0,6.9,1,1
158,16,41,41,41,0,3.9,0,1
159,16,33,37,36,1,3.9,1,1
160,16,30,34,34,1,18,0,1
161,17,44,42,41,0,10.3,1,1
162,17,42,44,43,0,8.2,1,1
163,17,40,37,42,1,12,0,1
164,17,38,38,41,1,6.2,0,1
165,17,45,47,47,0,2.6,1,1
166,17,39,35,40,1,3.8,0,1
167,17,45,45,43,0,17,1,1
168,17,40,44,46,1,8.8,1,1
169,17,45,43,46,0,5.4,1,1
170,17,40,41,40,0,9.7,0,1
171,18,37,34,38,1,14.4,0,0
172,18,38,42,37,0,10.1,0,0
173,18,42,41,40,1,8.8,1,0
174,18,43,42,44,0,12.6,1,0
175,18,43,44,44,0,10.5,1,0
176,18,44,46,44,0,7.3,1,0
177,18,48,48,44,0,8.2,1,0
178,18,35,38,39,1,4.1,0,0
179,18,37,40,45,1,5.3,1,0
180,18,40,40,39,0,6.8,0,0
181,19,37,40,39,0,2.6,0,0
182,19,40,41,40,0,6.5,0,0
183,19,35,41,39,1,5.1,1,0
184,19,39,36,37,1,6.4,0,0
185,19,42,41,37,0,13.1,1,0
186,19,36,37,39,1,11.4,1,0
187,19,33,35,36,1,3.9,0,0
188,19,37,38,38,0,4,0,0
189,19,41,42,41,0,5.9,1,0
