"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
1,1,41,40,42,1,4.1,0,0
2,1,41,41,43,1,3,1,0
3,1,42,46,41,0,3.2,0,0
4,1,40,39,38,1,5.2,1,0
5,1,43,41,44,1,3.8,1,0
6,1,41,41,43,1,6,1,0
7,1,39,45,38,1,4.2,1,0
8,1,38,37,44,1,16.6,1,0
9,1,46,41,46,0,11.4,1,0
10,1,46,47,43,0,4.6,1,0
11,2,41,43,42,0,17.7,1,1
12,2,38,33,37,1,6.8,0,1
13,2,38,41,40,1,14.2,1,1
14,2,38,39,38,0,33.2,0,1
15,2,35,35,37,1,10.4,0,1
16,2,30,36,36,1,7.2,0,1
17,2,38,38,38,1,8.2,0,1
18,2,41,40,45,0,4.4,1,1
19,2,43,44,43,0,8.9,1,1
20,2,38,41,41,1,7.3,1,1
21,3,43,44,44,0,4.4,1,0
22,3,40,42,41,0,12.7,0,0
23,3,42,44,43,0,9.6,1,0
24,3,36,40,40,1,11.7,1,0
25,3,36,36,38,1,8.4,0,0
26,3,43,48,44,0,11.1,1,0
27,3,39,42,40,1,9.7,1,0
28,3,40,41,39,1,6.7,1,0
29,3,40,42,45,0,12.2,1,0
30,3,36,41,43,1,15,1,0
31,4,40,39,45,1,5,1,1
32,4,38,43,45,1,6.9,1,1
33,4,46,42,42,0,11.9,1,1
34,4,46,44,44,0,2.4,1,1
35,4,39,43,42,0,18.1,1,1
36,4,45,43,44,0,7.5,1,1
37,4,39,40,40,1,10.4,1,1
38,4,37,42,40,1,7.8,1,1
39,4,40,43,43,0,14.5,1,1
40,4,40,42,41,1,5.7,1,1
41,5,35,36,38,1,10,1,0
42,5,44,41,42,0,5.2,1,0
43,5,37,37,40,1,13,1,0
44,5,40,42,40,0,7.3,0,0
45,5,40,41,38,0,28.8,1,0
46,5,37,37,37,1,7.4,0,0
47,5,43,42,42,0,4.9,1,0
48,5,43,46,44,0,8.4,1,0
49,5,40,43,43,0,9.1,1,0
50,5,41,43,45,0,4.3,1,0
51,6,36,43,43,0,4,1,0
52,6,36,35,39,1,6.1,0,0
53,6,38,37,37,1,3.3,1,0
54,6,40,40,40,1,7,1,0
55,6,44,46,44,0,6.7,1,0
56,6,36,40,40,1,6.6,0,0
57,6,38,41,36,0,7,0,0
58,6,42,36,42,0,5.5,1,0
59,6,41,40,43,0,3.2,1,0
60,6,40,39,40,1,5.6,1,0
61,7,44,43,42,0,4.7,1,0
62,7,42,40,42,0,3.1,1,0
63,7,41,41,40,0,4.2,1,0
64,7,44,42,41,0,10.4,1,0
65,7,34,37,38,1,3.9,0,0
66,7,33,40,38,1,5.9,0,0
67,7,38,42,43,1,8,1,0
68,7,46,42,44,0,8.4,1,0
69,7,43,42,45,0,2.2,1,0
70,7,40,43,40,0,7.5,1,0
71,8,35,37,38,1,4.1,0,1
72,8,38,39,44,0,6.3,1,1
73,8,41,44,43,0,5.4,0,1
74,8,37,40,40,1,10.7,1,1
75,8,36,36,38,1,6.2,0,1
76,8,40,41,42,0,5.3,1,1
77,8,35,37,39,0,12.1,1,1
78,8,35,39,40,1,21.3,1,1
79,8,37,36,39,1,6.3,0,1
80,8,42,38,41,0,5.4,0,1
81,9,38,42,42,1,4.1,1,1
82,9,40,42,41,0,13.3,0,1
83,9,37,38,42,1,13.5,1,1
84,9,40,39,39,0,3.4,0,1
85,9,33,34,35,1,14.2,0,1
86,9,38,40,41,1,8.9,1,1
87,9,40,38,40,0,5.8,0,1
88,9,39,38,42,1,14.7,1,1
89,9,42,41,42,0,10.2,1,1
90,9,36,41,42,1,8.8,1,1
91,10,44,44,42,0,3.1,1,0
92,10,44,38,43,0,3.6,0,0
